patch_code,myrtus_presence,patch_size(ha),disturbance(proportion_of_nitrophilous_ruderal_spp),R1_2002,R2_2002,R5_2002,R1_1956,R2_1956,R5_1956,UTM30SX,UTM30SY
218,0,1.88,0.462,0.01928,0.00958,0.27778,0.11301,0.11399,0.29219,187543,4127692
228,0,22.08,0.182,0.29179,0.38361,0.33355,0.77035,0.43277,0.25954,180740,4118274
229,1,12.64,0,0.08302,0.09699,0.33961,0.4067,0.43701,0.38474,177739,4118651
232,1,5.74,0.222,0.02806,0.0358,0.33305,0.56409,0.48207,0.35411,174547,4119264
217,0,1.08,0.462,0.02371,0.06347,0.32394,0.21252,0.16583,0.28883,187522,4127073
216,0,2.81,0.357,0.0288,0.08112,0.33659,0.23052,0.18664,0.28415,187473,4126895
226,0,212.65,0.276,0.58073,0.30546,0.39892,0.39974,0.31469,0.20726,180587,4116403
231,0,3.21,0.217,0.05409,0.06679,0.35044,0.52399,0.44052,0.39979,177259,4118751
237,1,8.19,0.279,0.28107,0.25028,0.36541,0.30795,0.21626,0.29161,181020,4119828
224,1,6.35,0.133,0.0907,0.10133,0.36982,0.82436,0.58413,0.41266,179096,4122003
230,0,1.14,0.235,0.05409,0.0586,0.35301,0.63489,0.441,0.40345,177020,4118792
222,1,11.19,0.121,0.0907,0.20851,0.39763,0.90845,0.55113,0.41654,179234,4122476
215,0,3.08,0.49,0.0882,0.21235,0.40336,0.29929,0.29186,0.27258,187087,4126159
352,1,8.35,0.2,0.40314,0.52016,0.47297,0.44236,0.46595,0.25012,184874,4126029
239,1,3.7,0.3,0.3693,0.52284,0.4861,0.40338,0.45465,0.25712,185164,4125788
